StateName,StateFIPS,PumaState,PUMA,Counties Within PUMA,uninsured_total,uninsured_percent,Foodstamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,%_EducatedPersons
Alabama,1,100100,100,LauderdaleCountyColbertCounty,18517,15.3,7754,445,4358,4922,7349,1443,8797,9719,5532,7463,964,1563,177,9,,3484,13213,3557,13685,1275,783,17665,852,127573.90506021492
Alabama,1,100200,200,MadisonCounty(part),28109,19.0,8364,1506,4865,8068,9792,3878,15183,12926,693,6151,1438,1543,9877,57,323,3822,19728,5363,1991,2835,360,27579,491,283507.08314063115
Alabama,1,100300,300,MadisonCounty(part),26568,12.1,6620,1147,4786,6231,12166,2237,1597,166,9896,8723,1158,19474,4929,12,518,2889,17397,573,1829,2574,672,25729,839,257406.88422161998
Alabama,1,100400,400,DeKalbCountyJacksonCounty,21245,20.4,6330,6713,2582,2940,668,2943,173,1543,7148,11744,2797,1599,255,,43,2428,15651,7939,1359,247,135,20800,446,24706.39679924688
Alabama,1,100500,500,MarshallCountyCullmanCountyWinstonCounty,25654,16.0,8155,3627,5429,3614,184,291,15321,1334,7675,11153,263,21733,1111,332,287,3694,1966,787,176,778,1236,24218,1313,77800.68605285726
Alabama,1,100600,600,MorganCountyLawrenceCounty,19470,15.6,4905,2344,3515,4286,656,2819,9368,111,4227,7496,1229,13636,3981,,78,3373,14441,2787,15519,1163,817,18764,706,116379.70724191064
Alabama,1,100800,800,WalkerCountyStClairCountyBlountCounty,27814,15.8,11558,3073,5638,7066,942,2617,1459,1335,668,1683,1357,2382,1465,16,862,4515,1822,7275,19114,1425,440,27148,651,142568.72078809232
Alabama,1,100901,901,JeffersonCounty(part),16726,20.5,7831,1648,4214,3564,5137,2163,8393,8333,2636,4474,795,4427,11316,15,173,1795,11338,4636,1771,1319,368,16313,398,131910.58830563194
Alabama,1,100902,902,JeffersonCounty(part),16132,19.2,9085,1281,2340,4385,6625,151,195,637,2746,416,321,162,15649,,,2477,131,3651,1155,977,207,15795,337,97707.1596826184
Alabama,1,100903,903,JeffersonCounty(part),11433,8.1,3574,1066,1720,2808,532,538,5318,6115,3114,453,16,5265,4632,53,,796,9259,1134,8927,1372,1039,10494,815,137278.08099361497
Alabama,1,100904,904,JeffersonCounty(part),22884,14.3,5101,3087,2647,6276,8218,2657,194,11945,7141,8916,522,12114,192,45,112,2645,17941,5563,14283,339,172,22426,414,33962.41478762454
Alabama,1,100905,905,JeffersonCounty(part),13013,14.1,5332,655,2896,3102,4856,154,758,556,2552,3857,163,6833,5894,6,69,2855,8778,3768,899,336,77,12988,19,33606.908476139244
Alabama,1,101000,1000,EtowahCounty,12616,14.6,3964,260,2301,2976,5256,1822,662,5996,3772,4384,19,9394,262,172,24,2468,8783,2544,1,72,157,12371,145,7200.007926442612
Alabama,1,101100,1100,TalladegaCountyCherokeeCountyRandolphCountyClayCountyCleburneCounty,22499,17.3,9156,1354,4553,4001,1448,2143,12774,9725,6936,729,24,16355,5744,6,128,447,13345,8379,13679,441,34,22190,309,44160.79825770034
Alabama,1,101200,1200,CalhounCounty,19109,19.2,10840,2013,3055,5065,7332,1645,1117,8992,5195,7547,1274,14319,323,,286,1689,14857,677,9921,2482,949,19006,103,248251.9179444241
Alabama,1,101300,1300,ShelbyCounty,17320,10.0,6700,3112,2668,3589,6142,189,8844,8477,721,8612,4547,1681,292,,,1629,1559,3134,11614,2573,3933,13387,3872,257367.0554272517
Alabama,1,101400,1400,TuscaloosaCounty,16024,9.3,5405,1786,3810,4338,4953,1138,8577,7447,395,3476,134,7692,6899,,129,1876,1192,4876,9913,1235,1270,15370,654,123561.86345481777
Alabama,1,101600,1600,TallapoosaCountyChiltonCountyChambersCountyCoosaCounty,18084,16.4,7664,2263,3008,4523,6982,137,9981,813,5945,8254,388,11837,584,19,,2413,13662,6469,171,913,407,17677,388,91300.94558725946
Alabama,1,101700,1700,LeeCounty,14928,11.7,4532,953,3824,3280,597,1774,7655,7273,5199,6684,258,9716,449,416,48,139,12452,538,8929,691,310,14618,205,69159.81377277599
Alabama,1,101800,1800,RussellCountyPikeCountyBarbourCountyMaconCountyButlerCountyHenryCountyCrenshawCountyBullockCounty,31361,18.7,12992,3117,6752,6348,11876,3269,17745,13616,7291,9231,1391,1262,1636,,162,41,17939,7621,22132,168,757,30590,209,16870.571729217816
Alabama,1,101900,1900,MontgomeryCounty(part),31436,17.2,15577,2998,6542,7546,11632,2718,1534,16132,496,989,1496,6165,23181,484,41,5175,2228,1278,1917,2141,1087,30047,1029,214106.0981040845
Alabama,1,102000,2000,MontgomeryCounty(part),23254,16.9,6504,2033,4528,5808,964,1821,14562,8692,471,6162,157,1368,9317,31,681,538,1477,6427,16398,429,215,23229,15,42970.51690031822
Alabama,1,102100,2100,EscambiaCountyClarkeCountyMonroeCountyWashingtonCountyChoctawCountyConecuhCountyLowndesCountyWilcoxCounty,30315,23.6,15422,3331,5841,5532,11899,3712,1666,1371,781,11541,368,14363,1424,,667,555,1473,9989,18211,2115,219,30096,219,211560.07257133434
Alabama,1,102200,2200,MobileCounty(part),32763,20.0,9742,3670,7348,7344,119,25,18426,14336,5266,1212,885,9944,21842,42,5,338,22481,5283,25818,1662,377,32386,357,166278.802307481
Alabama,1,102300,2300,MobileCounty(part),33890,17.7,11770,2560,7759,6253,153,2288,1563,18827,12771,1559,158,2859,9288,992,862,413,2684,7379,25625,886,286,33315,148,88675.61227500738
Alabama,1,102400,2400,BaldwinCounty,20124,13.0,4153,1062,5603,1260,8158,44,1142,8722,689,62,1933,15544,199,134,523,3516,152,4416,13293,2415,757,19345,592,241566.0554561717
Alabama,1,102500,2500,CoffeeCountyCovingtonCountyGenevaCounty,16861,17.7,5569,656,2320,5368,756,11,8853,88,548,769,668,12319,3485,7,369,1782,11647,4625,1151,726,321,16512,333,72606.82640412786
Alabama,1,102600,2600,HoustonCountyDaleCounty,20125,15.5,8409,1578,4080,4435,772,2329,1178,9947,589,729,746,1287,6776,74,45,326,14238,459,14398,1137,313,19806,160,113771.54285714286
Alaska,2,200101,101,AnchorageMunicipality(part),22555,17.5,3079,4969,5126,5182,492,2375,13736,8819,4773,9913,1775,781,217,349,293,1581,17818,3716,14113,4726,703,20060,904,472662.5714919087
Alaska,2,200102,102,AnchorageMunicipality(part),17501,12.4,1470,2535,2467,2829,7196,2474,894,8561,5711,7466,2327,8913,166,1968,168,1291,15219,164,1459,1928,1510,14948,415,192808.3366664762
Alaska,2,200200,200,MatanuskaSusitnaBoroughKenaiPeninsulaBorough,31280,23.4,4681,5204,3762,7631,1824,3859,1624,1576,8797,12819,588,2528,37,,963,4336,25324,1569,2587,3841,314,30966,132,384108.27046035806
Alaska,2,200300,300,FairbanksNorthStarBoroughJuneauCityandBoroughKetchikanGatewayBoroughValdezCordovaCensusAreaSitkaCityandBoroughSoutheastFairbanksCensusArHainesBoroughDenaliBorough,36696,23.0,3428,8768,6015,5166,12899,3847,297,15726,7694,16567,1265,18649,16,1967,6247,336,32642,3231,3583,2882,152,36304,29,288209.7640069762
Alaska,2,200400,400,BethelCensusAreaKodiakIslandBoroughNomeCensusAreaNorthSlopeBoroughNorthwestArcticBoroughWadeHamptonCensusAreaWrangellPetersburgCensusArYukonKoyukukCensusAreaPrinceofWalesOuterKetchikAleutiansWestCensus,31390,32.4,9076,5690,6754,4316,163,4,18536,12853,6913,12172,833,5631,481,1512,3141,3743,2434,458,25997,885,1844,28881,478,88582.81936922586
Arizona,4,400101,101,MaricopaCounty(part),8736,12.7,2091,1731,1001,1141,38,1854,4532,424,2553,337,189,731,,346,,1238,5447,1375,6827,534,172,8458,230,53478.1478937729
Arizona,4,400102,102,MaricopaCounty(part),18289,14.3,2297,3378,3459,3145,5569,2738,144,7849,5747,7344,5345,995,93,835,131,176,15767,373,1428,19,1670,16170,1486,1907.8079720050305
