StateName,StateFIPS,PUMA,Counties Within PUMA,PumaState,uninsured_total,uninsured_percent,FoodStamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,138PctFPL_or_Less,139to400PctFPL,Above400PctFPL,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,HawaiiPacIslander,AmericanIndian_AlaskaNative,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,Job_Agriculture,Job_Mining,Job_ManufacturingConstruction,Job_Trade,Job_InfoFinance,Job_EducHealth,Job_Entertainment,Job_Service,Job_MilitaryPublic,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,Chinese,Korean,Vietnamese,Tagalog,Russian,OtherLang,SpeaksMostCommonOthLang,OtherLanguage
Alabama,1,100,"Lauderdale County, Colbert County",100100,18517,15.4,41.9,2.4,23.5,26.6%,39.7%,7.8%,61.7%,35.0%,3.2%,47.5%,52.5%,29.9%,40.3%,5.2%,84.3%,9.6%,0.0%,0.0%,0.9%,0.0%,18.8%,71.4%,0.6%,16.2%,13.5%,20.3%,11.0%,9.3%,9.6%,2.3%,3.9%,19.2%,73.9%,6.9%,4.2%,95.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,200,Madison County (part),100200,28109,19.0,29.8,5.4,17.3,28.7%,34.8%,13.8%,57.6%,29.4%,13.0%,54.0%,46.0%,21.7%,21.9%,5.1%,53.5%,35.1%,2.0%,0.0%,3.0%,1.1%,13.6%,70.2%,0.2%,9.2%,9.1%,10.5%,24.4%,5.0%,18.0%,5.2%,3.3%,19.1%,70.8%,10.1%,1.3%,98.1,1.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,**
Alabama,1,300,Madison County (part),100300,26568,12.2,24.9,4.3,18.0,23.5%,45.8%,8.4%,63.6%,27.6%,8.7%,59.9%,40.1%,37.2%,32.8%,4.4%,73.3%,18.6%,0.5%,0.0%,1.4%,1.9%,10.9%,65.5%,1.6%,15.3%,8.4%,14.5%,12.8%,4.7%,10.7%,3.6%,3.5%,21.5%,68.8%,9.7%,2.5%,96.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,400,"DeKalb County, Jackson County",100400,21245,20.8,29.8,31.6,12.2,13.8%,28.6%,13.9%,64.1%,27.7%,8.1%,50.4%,49.6%,33.6%,55.3%,13.2%,75.3%,9.7%,0.0%,0.0%,0.0%,1.9%,11.4%,73.7%,4.4%,4.8%,13.0%,7.4%,9.1%,11.0%,5.7%,2.0%,1.9%,37.4%,61.5%,1.2%,0.6%,97.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,500,"Marshall County, Cullman County, Winston County",100500,25654,16.2,31.8,14.1,21.2,14.1%,39.3%,11.3%,66.2%,26.6%,7.2%,59.7%,40.3%,29.9%,43.5%,8.0%,84.7%,4.3%,1.3%,0.2%,0.3%,1.1%,14.4%,74.3%,3.1%,13.4%,10.3%,18.6%,5.6%,4.9%,12.6%,5.2%,5.1%,30.7%,66.3%,3.0%,4.8%,94.4,5.1,0.0,0.0,0.0,0.1,0.0,0.4,0.0,**
Alabama,1,600,"Morgan County, Lawrence County",100600,19470,15.6,25.2,12.0,18.1,22.0%,33.4%,14.5%,60.7%,37.0%,2.2%,48.1%,51.9%,21.7%,38.5%,6.3%,70.0%,20.4%,0.0%,0.0%,2.8%,0.4%,17.3%,74.2%,0.8%,9.6%,11.5%,14.8%,9.7%,5.6%,18.7%,2.6%,4.1%,14.3%,79.7%,6.0%,4.2%,96.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,700,"Franklin County, Marion County, Pickens County, Fayette County, Lamar County, Sumter County",100700,19421,17.8,40.1,2.5,17.0,16.3%,52.0%,12.1%,67.2%,26.6%,6.2%,53.4%,46.6%,32.5%,25.9%,6.0%,62.8%,30.8%,0.3%,0.0%,0.0%,0.2%,13.2%,59.1%,4.9%,12.1%,15.5%,14.8%,8.2%,5.2%,11.9%,3.8%,8.0%,30.1%,68.3%,1.7%,0.4%,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,**
Alabama,1,800,"Walker County, St. Clair County, Blount County",100800,27814,15.9,41.6,11.0,20.3,25.4%,33.9%,9.4%,67.6%,29.7%,2.7%,52.2%,47.8%,23.8%,38.4%,4.9%,85.6%,5.3%,0.1%,0.0%,1.1%,3.1%,16.2%,64.8%,0.7%,14.0%,8.8%,12.7%,6.1%,9.5%,10.5%,6.8%,4.6%,26.2%,68.7%,5.1%,1.6%,97.6,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,**
Alabama,1,901,Jefferson County (part),100901,16726,20.7,46.8,9.9,25.2,21.3%,30.7%,12.9%,82.6%,16.3%,1.1%,50.2%,49.8%,15.8%,26.7%,4.8%,26.5%,67.7%,0.1%,0.0%,0.0%,1.0%,10.7%,67.8%,1.5%,5.0%,8.3%,14.6%,15.1%,12.1%,15.4%,6.9%,3.4%,27.7%,64.4%,7.9%,2.2%,97.5,2.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,**
Alabama,1,902,Jefferson County (part),100902,16132,19.2,56.3,7.9,14.5,27.2%,41.1%,9.3%,68.4%,27.3%,4.3%,62.6%,37.4%,17.0%,24.9%,2.0%,1.0%,97.0%,0.0%,0.0%,0.0%,0.0%,15.4%,63.9%,0.3%,6.0%,7.4%,22.5%,11.5%,8.6%,14.4%,2.0%,4.0%,22.6%,71.3%,6.1%,1.3%,97.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,903,Jefferson County (part),100903,11433,8.2,31.3,9.3,15.0,24.6%,46.4%,4.7%,49.1%,44.6%,6.3%,46.5%,53.5%,27.2%,35.5%,8.8%,46.1%,40.5%,4.6%,0.0%,0.0%,0.0%,7.0%,81.0%,0.0%,2.9%,1.8%,20.2%,23.8%,5.5%,21.7%,6.1%,8.6%,9.9%,78.1%,12.0%,9.1%,91.8,7.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,**
